"muscle","side","x_origin","y_origin","z_origin","x_insertion","y_insertion","z_insertion","force"
"mAMES","L","-1.213258916","-2.02443628","-0.153896098","-1.033378781","-1.122731342","-1.05006169","1.779619349"
"mAMES","R","1.078846226","-2.164904345","-0.047429028","1.183456966","-1.269581973","-0.908255941","1.868324523"
"mAMEM","L","-1.302188491","-1.310284043","-0.152315059","-0.992738851","-0.834273496","-1.035782733","3.211419578"
"mAMEM","R","1.294450087","-1.515382036","0.042033531","1.178801127","-0.975315365","-0.881773664","3.168924253"
"mAMEP","L","-1.214207753","-1.814978814","0.290312068","-0.920604888","-0.772512199","-0.906200801","4.666356626"
"mAMEP","R","1.075356442","-1.960500917","0.427157106","1.116828857","-0.900016052","-0.789293829","4.424304681"
"mAMP","L","-1.058093253","-1.531734625","-0.516667883","-0.901198897","-0.930230568","-1.172270458","5.739929819"
"mAMP","R","1.05137665","-1.653753256","-0.365318118","1.101111415","-1.126535547","-1.084920025","5.537524608"
"mPSTs","L","-0.537193987","-1.373760031","-0.007889694","-0.840873334","-0.758892512","-0.889744611","4.884237993"
"mPSTs","R","0.493889486","-1.437570755","0.112917073","1.027499249","-0.920290547","-0.783289413","4.53461829"
"mPSTp","L","-0.712959028","-1.218011711","-0.329487712","-0.869507899","-0.852813617","-0.970941255","3.372140306"
"mPSTp","R","0.737575784","-1.298493694","-0.241847136","1.048106912","-1.014341802","-0.867309666","3.710234205"
"mPTd","L","-0.423473829","-1.081436018","-0.467356295","-0.766904381","-1.546275316","-1.103248358","13.56894323"
"mPTd","R","0.491378309","-1.12871568","-0.406100803","0.859918699","-1.689264667","-0.989854506","12.53259004"
"mPTv","L","-0.321998145","-1.038282498","-0.557418862","-0.812744184","-1.621589216","-1.19844757","11.54682451"
"mPTv","R","0.47893852","-1.14579386","-0.520950932","0.891113305","-1.777915867","-1.05088392","11.4714917"
"mPPt","L","-0.731276218","-1.542337153","-0.11964697","-0.671234792","-1.403146758","-0.445169844","1.884211702"
"mPPt","R","0.536008232","-1.568177727","-0.086424259","0.741586853","-1.546920784","-0.355813687","1.800262969"
"mDM","L","-1.135145574","-2.737190342","0.014979271","-1.363304909","-1.958960077","-1.118799674","4.666356626"
"mDM","R","0.866052426","-2.915820755","0.154562171","1.400357352","-2.167804063","-0.91981274","4.424304681"